Job Title,Company Name,Location,Description,Salary,MetaData,Posting
Software Engineer II (Back-end Java),JPMorganChase,"New York, NY 10001","  Demonstrated knowledge of software applications and technical processes within a technical discipline (e.g., cloud, artificial intelligence, machine learning,… ·More...",,"$218,000 - $242,000 a year",
Full Stack Engineer,Goliath Partners,"New York, NY",  Interest in innovation/ greenfield development very important (and finance!).  Design UIs in React and JavaScript.  Backend development/ core infra in Python. ·More...,,"$218,000 - $242,000 a year",
DevOps / Release Engineer,Avant Tech,"New York, NY",  Knowledge of software version control and release management.  This role will contribute to maintaining the quality and integrity of the technology… ·More...,,"$218,000 - $242,000 a year",
"Field Service Automation Engineer (NY, NY)",Abbott Laboratories,"New York, NY",  Partner with Enterprise Account Manager and/or Sales Executive to develop account-specific lab strategy and execution throughout commercial cycle and… ·More...,,"$218,000 - $242,000 a year",
Senior Cloud Engineer,EHE Health,"New York, NY","  Implement security best practices across cloud environments, including encryption, least-privilege access control, and network security. ·More...",,"$218,000 - $242,000 a year",
"Staff Software Engineer - Internal Platform Infrastructure, Networking",HashiCorp,"Remote in New York, NY",  The HashiCorp Platform Infrastructure team is responsible for providing hosted environments that meet the security and compliance needs of the cloud products. ·More...,,"$218,000 - $242,000 a year",
Senior Software Engineer - Backend,Samniya,"New York, NY","  Leading and mentoring a team of talented engineers.  A passion for learning new technologies and working in a dynamic, collaborative environment. EmployerActive 29 days ago·More...",,"$218,000 - $242,000 a year",Active 29 days ago
Senior Backend Engineer,Arrow Search Partners,"Remote in New York, NY","  Experience in designing complex and highly scalable software architecture.  Proficient programming capabilities in any backend language, ideally NodeJS or open… ·More...",,"$218,000 - $242,000 a year",
Senior Backend Engineer,Understood,"Hybrid work in New York, NY","  Experience with Agile software development processes.  Utilize Datadog for monitoring, alerting and analytics to proactively identify and resolve issues. ·More...",,"$218,000 - $242,000 a year",
"Technology- Software Development, Summer Analyst, New York City/ Jersey City 2025",Citi,"New York, NY","  You will work in an agile software development environment, developing quality and scalable software solutions using leading-edge technologies. ·More...",,"$218,000 - $242,000 a year",
software engineer jobs in New York State,,,,,,
Ecosystems Software Engineer,Candid,"New York, NY",  Practice Agile software development methodologies.  Candid is looking for a long-term software engineer with experience building and maintaining modern internal… ·More...,,"$78,000 - $145,000 a year",
C++ Software Engineer - Trading applications,Talan,"New York, NY",  Manage the software build and release process.  Develop scripts to build and deploy software releases.  8 paid holidays + 5 sick days + 2 personal days per year. EmployerActive 4 days ago·More...,,"$78,000 - $145,000 a year",Active 4 days ago
"Specialist, Audio Software Engineer 1",L3Harris Technologies,"Rochester, NY","  Responsible for research, design, and development of embedded software for software defined radio products.  This is not a guarantee of compensation or salary,… ·More...",,"$78,000 - $145,000 a year",
Software Engineer II (Back-end Java),JPMorganChase,"New York, NY 10001","  Demonstrated knowledge of software applications and technical processes within a technical discipline (e.g., cloud, artificial intelligence, machine learning,… ·More...",,"$78,000 - $145,000 a year",
"Software Engineer III, Infrastructure, Gemini",Google,"New York, NY (Chelsea area)","  We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking… ·More...",,"$78,000 - $145,000 a year",
Full Stack Engineer,Goliath Partners,"New York, NY",  Interest in innovation/ greenfield development very important (and finance!).  Design UIs in React and JavaScript.  Backend development/ core infra in Python. ·More...,,"$78,000 - $145,000 a year",
DevOps / Release Engineer,Avant Tech,"New York, NY",  Knowledge of software version control and release management.  This role will contribute to maintaining the quality and integrity of the technology… ·More...,,"$78,000 - $145,000 a year",
